slot	model	backend	draft_length	dataset	mode	bsz	prefix_profile	num_total_runs
1g0	Qwen3-8B	ngram   	4	AIME2025	sampling	16	short	2
1g1	Qwen3-8B	ngram   	4	MMLU-Pro	sampling	16	short	2
1g2	Qwen3-8B	ngram   	4	CodeForces	sampling	16	short	2
1g3	Qwen3-8B	standard	4	AIME2025	sampling	16	short	2
1g0	Qwen3-8B	standalone	4	AIME2025	sampling	16	short	2
1g1	Qwen3-8B	eagle   	4	AIME2025	sampling	16	short	2
1g2	Qwen3-8B	mtp     	4	AIME2025	sampling	16	short	2
1g3	Qwen3-8B	magicdec	4	AIME2025	sampling	16	short	2
1g0	Qwen3-8B	standard	4	MMLU-Pro	sampling	16	short	2
1g1	Qwen3-8B	standalone	4	MMLU-Pro	sampling	16	short	2
1g2	Qwen3-8B	eagle   	4	MMLU-Pro	sampling	16	short	2
1g3	Qwen3-8B	mtp     	4	MMLU-Pro	sampling	16	short	2
1g0	Qwen3-8B	magicdec	4	MMLU-Pro	sampling	16	short	2
1g1	Qwen3-8B	standard	4	CodeForces	sampling	16	short	2
1g2	Qwen3-8B	standalone	4	CodeForces	sampling	16	short	2
1g3	Qwen3-8B	eagle   	4	CodeForces	sampling	16	short	2
1g0	Qwen3-8B	mtp     	4	CodeForces	sampling	16	short	2
1g1	Qwen3-8B	magicdec	4	CodeForces	sampling	16	short	2
