slot	model	backend	draft_length	dataset	mode	bsz	prefix_profile	num_total_runs
4g	Qwen3-8B	magicdec	1	AIME2025	sampling	256	short	6
4g	Qwen3-8B	magicdec	2	AIME2025	sampling	256	short	6
4g	Qwen3-8B	magicdec	3	AIME2025	sampling	256	short	6
4g	Qwen3-8B	magicdec	4	AIME2025	sampling	256	short	6
4g	Qwen3-8B	magicdec	1	AIME2025	sampling	128	long	6
4g	Qwen3-8B	magicdec	2	AIME2025	sampling	128	long	6
4g	Qwen3-8B	magicdec	3	AIME2025	sampling	128	long	6
4g	Qwen3-8B	magicdec	4	AIME2025	sampling	128	long	6
4g	DSL-8B	magicdec	1	AIME2025	sampling	256	short	6
4g	DSL-8B	magicdec	2	AIME2025	sampling	256	short	6
4g	DSL-8B	magicdec	3	AIME2025	sampling	256	short	6
4g	DSL-8B	magicdec	4	AIME2025	sampling	256	short	6
4g	DSL-8B	magicdec	1	AIME2025	sampling	128	long	6
4g	DSL-8B	magicdec	2	AIME2025	sampling	128	long	6
4g	DSL-8B	magicdec	3	AIME2025	sampling	128	long	6
4g	DSL-8B	magicdec	4	AIME2025	sampling	128	long	6
4g	Qwen3-14B	magicdec	1	AIME2025	sampling	256	short	6
4g	Qwen3-14B	magicdec	2	AIME2025	sampling	256	short	6
4g	Qwen3-14B	magicdec	3	AIME2025	sampling	256	short	6
4g	Qwen3-14B	magicdec	4	AIME2025	sampling	256	short	6
4g	Qwen3-14B	magicdec	1	AIME2025	sampling	128	long	6
4g	Qwen3-14B	magicdec	2	AIME2025	sampling	128	long	6
4g	Qwen3-14B	magicdec	3	AIME2025	sampling	128	long	6
4g	Qwen3-14B	magicdec	4	AIME2025	sampling	128	long	6
4g	Qwen3-14B	magicdec	1	AIME2025	sampling	64	long	6
4g	Qwen3-14B	magicdec	2	AIME2025	sampling	64	long	6
4g	Qwen3-14B	magicdec	3	AIME2025	sampling	64	long	6
4g	Qwen3-14B	magicdec	4	AIME2025	sampling	64	long	6
2g0	Qwen3-8B	magicdec	1	AIME2025	sampling	64	long	6
2g1	Qwen3-8B	magicdec	2	AIME2025	sampling	64	long	6
