slot	model	backend	draft_length	dataset	mode	bsz	prefix_profile	num_total_runs
2g0	Qwen3-8B	mtp	1	AIME2025	sampling	64	long	6
2g1	Qwen3-8B	mtp	2	AIME2025	sampling	64	long	6
2g1	Qwen3-8B	mtp	3	AIME2025	sampling	64	long	6
2g0	Qwen3-8B	mtp	4	AIME2025	sampling	64	long	6
2g0	DSL-8B	mtp	1	AIME2025	sampling	64	long	6
2g1	DSL-8B	mtp	2	AIME2025	sampling	64	long	6
2g1	DSL-8B	mtp	3	AIME2025	sampling	64	long	6
2g0	DSL-8B	mtp	4	AIME2025	sampling	64	long	6
2g0	Qwen3-14B	mtp	1	AIME2025	sampling	32	long	6
2g1	Qwen3-14B	mtp	2	AIME2025	sampling	32	long	6
2g1	Qwen3-14B	mtp	3	AIME2025	sampling	32	long	6
2g0	Qwen3-14B	mtp	4	AIME2025	sampling	32	long	6
1g0	Qwen3-8B	mtp	1	AIME2025	sampling	32	long	6
1g1	Qwen3-8B	mtp	2	AIME2025	sampling	32	long	6
1g2	Qwen3-8B	mtp	3	AIME2025	sampling	32	long	6
1g3	Qwen3-8B	mtp	4	AIME2025	sampling	32	long	6
1g0	Qwen3-8B	mtp	1	AIME2025	sampling	16	long	6
1g1	Qwen3-8B	mtp	2	AIME2025	sampling	16	long	6
1g2	Qwen3-8B	mtp	3	AIME2025	sampling	16	long	6
1g3	Qwen3-8B	mtp	4	AIME2025	sampling	16	long	6
1g0	DSL-8B	mtp	1	AIME2025	sampling	32	long	6
1g1	DSL-8B	mtp	2	AIME2025	sampling	32	long	6
1g2	DSL-8B	mtp	3	AIME2025	sampling	32	long	6
1g3	DSL-8B	mtp	4	AIME2025	sampling	32	long	6
1g0	DSL-8B	mtp	1	AIME2025	sampling	16	long	6
1g1	DSL-8B	mtp	2	AIME2025	sampling	16	long	6
1g2	DSL-8B	mtp	3	AIME2025	sampling	16	long	6
1g3	DSL-8B	mtp	4	AIME2025	sampling	16	long	6
1g0	Qwen3-14B	mtp	1	AIME2025	sampling	16	long	6
1g1	Qwen3-14B	mtp	2	AIME2025	sampling	16	long	6
1g2	Qwen3-14B	mtp	3	AIME2025	sampling	16	long	6
1g3	Qwen3-14B	mtp	4	AIME2025	sampling	16	long	6
2g0	Qwen3-8B	mtp	1	MMLU-Pro	sampling	64	long	6
2g1	Qwen3-8B	mtp	2	MMLU-Pro	sampling	64	long	6
2g1	Qwen3-8B	mtp	3	MMLU-Pro	sampling	64	long	6
2g0	Qwen3-8B	mtp	4	MMLU-Pro	sampling	64	long	6
2g0	DSL-8B	mtp	1	MMLU-Pro	sampling	64	long	6
2g1	DSL-8B	mtp	2	MMLU-Pro	sampling	64	long	6
2g1	DSL-8B	mtp	3	MMLU-Pro	sampling	64	long	6
2g0	DSL-8B	mtp	4	MMLU-Pro	sampling	64	long	6
2g0	Qwen3-14B	mtp	1	MMLU-Pro	sampling	32	long	6
2g1	Qwen3-14B	mtp	2	MMLU-Pro	sampling	32	long	6
2g1	Qwen3-14B	mtp	3	MMLU-Pro	sampling	32	long	6
2g0	Qwen3-14B	mtp	4	MMLU-Pro	sampling	32	long	6
1g0	Qwen3-8B	mtp	1	MMLU-Pro	sampling	32	long	6
1g1	Qwen3-8B	mtp	2	MMLU-Pro	sampling	32	long	6
1g2	Qwen3-8B	mtp	3	MMLU-Pro	sampling	32	long	6
1g3	Qwen3-8B	mtp	4	MMLU-Pro	sampling	32	long	6
1g0	Qwen3-8B	mtp	1	MMLU-Pro	sampling	16	long	6
1g1	Qwen3-8B	mtp	2	MMLU-Pro	sampling	16	long	6
1g2	Qwen3-8B	mtp	3	MMLU-Pro	sampling	16	long	6
1g3	Qwen3-8B	mtp	4	MMLU-Pro	sampling	16	long	6
1g0	DSL-8B	mtp	1	MMLU-Pro	sampling	32	long	6
1g1	DSL-8B	mtp	2	MMLU-Pro	sampling	32	long	6
1g2	DSL-8B	mtp	3	MMLU-Pro	sampling	32	long	6
1g3	DSL-8B	mtp	4	MMLU-Pro	sampling	32	long	6
1g0	DSL-8B	mtp	1	MMLU-Pro	sampling	16	long	6
1g1	DSL-8B	mtp	2	MMLU-Pro	sampling	16	long	6
1g2	DSL-8B	mtp	3	MMLU-Pro	sampling	16	long	6
1g3	DSL-8B	mtp	4	MMLU-Pro	sampling	16	long	6
1g0	Qwen3-14B	mtp	1	MMLU-Pro	sampling	16	long	6
1g1	Qwen3-14B	mtp	2	MMLU-Pro	sampling	16	long	6
1g2	Qwen3-14B	mtp	3	MMLU-Pro	sampling	16	long	6
1g3	Qwen3-14B	mtp	4	MMLU-Pro	sampling	16	long	6
